DATE,DATETIME,CASH_TYPE,CARD,MONEY,PRODUCTS
2024-03-01,2024-03-01 10:15:50.520,card,ANON-0000-0000-0001,122.6,Serviço de Limpeza
2024-03-01,2024-03-01 12:19:22.539,card,ANON-0000-0000-0002,144.52,Serviço de Formatação
2024-03-01,2024-03-01 12:20:18.089,card,ANON-0000-0000-0002,147.6,Serviço de Formatação
2024-03-01,2024-03-01 13:46:33.006,card,ANON-0000-0000-0003,246.96,Serviço de Montagem
2024-03-01,2024-03-01 13:48:14.626,card,ANON-0000-0000-0004,124.54,Serviço de Limpeza
2024-03-01,2024-03-01 15:39:47.726,card,ANON-0000-0000-0005,184.38,RAM 8GB DDR4
2024-03-01,2024-03-01 16:19:02.756,card,ANON-0000-0000-0006,144.95,Serviço de Formatação
2024-03-01,2024-03-01 18:39:03.580,card,ANON-0000-0000-0007,184.41,RAM 8GB DDR4
2024-03-01,2024-03-01 19:22:01.762,card,ANON-0000-0000-0008,293.39,RAM 16GB DDR4
2024-03-01,2024-03-01 19:23:15.887,card,ANON-0000-0000-0008,182.69,RAM 8GB DDR4
2024-03-01,2024-03-01 19:29:17.391,card,ANON-0000-0000-0009,188.3,RAM 8GB DDR4
2024-03-02,2024-03-02 10:22:06.957,card,ANON-0000-0000-0010,262.35,Serviço de Montagem
2024-03-02,2024-03-02 10:30:35.668,cash,,115.06,Serviço de Limpeza
2024-03-02,2024-03-02 10:41:41.249,card,ANON-0000-0000-0011,179.92,RAM 8GB DDR4
2024-03-02,2024-03-02 11:59:45.484,card,ANON-0000-0000-0012,181.49,RAM 8GB DDR4
2024-03-02,2024-03-02 14:38:35.535,card,ANON-0000-0000-0013,247.55,Serviço de Montagem
2024-03-02,2024-03-02 16:37:24.475,card,ANON-0000-0000-0014,186.08,RAM 8GB DDR4
2024-03-02,2024-03-02 17:34:54.969,card,ANON-0000-0000-0004,253.3,Serviço de Montagem
2024-03-03,2024-03-03 10:10:43.981,cash,,119.39,Serviço de Limpeza
2024-03-03,2024-03-03 10:27:18.561,card,ANON-0000-0000-0015,124.15,Serviço de Limpeza
2024-03-03,2024-03-03 11:33:56.118,card,ANON-0000-0000-0016,721.18,RAM 32GB DDR5
2024-03-03,2024-03-03 12:26:56.098,card,ANON-0000-0000-0012,253.67,Serviço de Montagem
2024-03-03,2024-03-03 13:09:36.321,card,ANON-0000-0000-0017,147.89,Serviço de Formatação
2024-03-03,2024-03-03 17:06:40.271,card,ANON-0000-0000-0018,296.89,RAM 16GB DDR4
